Page,Word,Plural,Countability,regularity,pronunciation
39,pairing,pairings,countable,regular,s
39,hamburger,hamburgers,countable,regular,s
39,fry,fries,countable,regular,s
39,ketchup,-,uncountable,-,-
39,person,people,countable,-,-
39,mayonnaise,-,uncountable,-,-
39,sauce,-,uncountable,-,-
39,combination,combinations,countable,regular,s
40,dish,dishes,countable,regular,iz
40,argument,arguments,countable,regular,s
40,taste,tastes,countable,regular,s
40,pizza,-,uncountable,-,-
40,immigrant,immigrants,countable,regular,s
40,ingredient,ingredients,countable,regular,s
40,pepperoni,-,uncountable,-,-
40,mushroom,mushrooms,countable,regular,s
40,can,cans,countable,regular,s
40,pineapple,-,uncountable,-,-
40,ham,-,uncountable,-,-
40,fruit,-,uncountable,-,-
40,kitchen,kitchens,countable,regular,s
40,duck,-,uncountable,-,-
41,dessert,desserts,countable,regular,s
41,rice,-,uncountable,-,-
41,mango,mangoes,countable,regular,s
41,milk,-,uncountable,-,-
41,grain,grains,countable,regular,s
41,part,parts,countable,regular,s
41,border,borders,countable,regular,s
41,root,roots,countable,regular,s
41,result,results,countable,regular,s
41,culture,cultures,countable,regular,s
41,food,foods,countable,regular,s
41,meal,meals,countable,regular,s
41,treat,treats,countable,regular,s
42,snack,-,uncountable,-,-
42,energy,-,uncountable,-,-
42,genius,-,uncountable,-,-
42,butter,-,uncountable,-,-
42,sandwich,sandwiches,countable,regular,iz
42,choice,choices,countable,regular,iz
42,breakfast,-,uncountable,-,-
42,lunch,-,uncountable,-,-
42,protein,-,uncountable,-,-
42,fiber,-,uncountable,-,-
42,carbohydrates,-,uncountable,-,-
42,level,levels,countable,regular,s
42,bacon,-,uncountable,-,-
43,place,places,countable,regular,iz
43,flavor,flavors,countable,regular,s
43,experience,experiences,countable,regular,iz
54,curry,curries,countable,regular,s
54,restaurant,restaurants,countable,regular,s
54,type,types,countable,regular,s
54,recipe,recipes,countable,regular,s
54,origin,origins,countable,regular,s
54,term,terms,countable,regular,s
54,word,words,countable,regular,s
54,country,countries,countable,regular,s
54,sailor,sailors,countable,regular,s
54,version,versions,countable,regular,s
55,difference,differences,countable,regular,iz
55,spice,spices,countable,regular,iz
55,block,blocks,countable,regular,s
55,store,stores,countable,regular,s
55,cook,cooks,countable,regular,s
55,mixture,mixtures,countable,regular,s
55,turmeric,-,uncountable,-,-
55,ginger,-,uncountable,-,-
55,color,-,uncountable,-,-
55,texture,-,uncountable,-,-
55,powder,-,uncountable,-,-
